area_name,year,dacoity,robbery ,murder,speedy_trial,riot ,woman_child_Repression,kidnapping,police_assault,burglary,theft,other_cases,recovery_cases_arms_act,recovery_cases_explosive,recovery_cases_narcotics,recovery_cases_smuggling
dhaka metropolitan,2010,47,220,245,363,3,1370,139,155,555,1915,7228,518,82,10535,144
chittagong metropolitan,2010,16,108,94,31,7,455,37,31,123,314,1831,51,0,866,99
khulna metropolitan,2010,3,9,29,25,0,153,11,4,65,91,551,19,2,792,13
rajshahi metropolitan,2010,4,20,21,9,15,157,9,12,53,106,578,3,4,332,248
barisal metropolitan,2010,8,12,19,21,0,112,6,8,24,83,557,17,0,155,117
sylhet metropolitan,2010,12,33,33,34,1,104,14,12,33,154,866,14,0,154,20
dhaka division,2010,162,199,1153,362,7,4272,171,71,643,1477,19966,309,30,4459,993
chittagong division,2010,153,122,639,245,32,2915,111,87,429,998,12985,235,20,4730,612
sylhet division,2010,85,43,245,75,17,848,41,19,186,524,5266,30,4,905,172
khulna division,2010,74,125,513,110,15,2275,156,25,332,947,9954,211,96,2292,1238
barisal division,2010,38,37,207,112,3,991,65,13,214,374,6561,33,5,334,33
rajshahi division,2010,54,130,757,276,29,4095,105,35,442,1442,20654,134,10,3614,2509
railway range,2010,0,1,33,3,1,5,5,1,2,104,142,1,0,176,165
dhaka metropolitan,2011,43,294,259,324,9,1538,118,142,589,2050,6766,358,77,10405,88
chittagong metropolitan,2011,16,66,83,43,15,408,30,19,125,355,1304,89,4,1541,28
khulna metropolitan,2011,3,13,23,17,0,171,12,10,57,92,478,14,3,495,9
rajshahi metropolitan,2011,2,14,18,3,3,146,16,11,55,101,665,8,1,253,199
barisal metropolitan,2011,18,8,15,12,0,147,9,12,40,88,564,11,0,196,80
sylhet metropolitan,2011,9,24,37,42,1,158,16,16,31,129,857,8,0,178,32
dhaka division,2011,160,174,1199,361,17,4838,144,117,607,1731,19993,260,25,7497,1076
chittagong division,2011,164,116,640,241,10,4397,105,116,458,1130,13846,192,20,4122,555
sylhet division,2011,60,42,283,58,19,987,40,27,177,481,5473,19,0,1464,190
khulna division,2011,58,124,414,105,5,2796,119,32,395,902,10452,152,60,2168,1047
barisal division,2011,33,43,194,473,8,1060,60,20,214,331,6611,41,6,350,19
rajshahi division,2011,81,146,780,179,22,4735,121,58,385,1388,21174,114,11,2763,2276
railway range,2011,3,5,21,5,0,8,2,1,1,95,172,3,0,264,115
dhaka metropolitan,2012,66,222,264,388,11,1637,149,136,592,2240,8296,284,94,8345,99
chittagong metropolitan,2012,10,66,88,74,18,281,27,26,112,283,1492,121,5,1976,41
khulna metropolitan,2012,1,18,23,14,0,199,16,9,44,76,493,17,7,437,19
rajshahi metropolitan,2012,2,24,37,9,6,122,11,15,52,136,728,5,3,229,130
barisal metropolitan,2012,8,9,20,7,0,135,5,11,40,75,600,16,0,459,49
sylhet metropolitan,2012,8,15,37,52,3,140,6,28,42,116,784,11,1,186,4
dhaka division,2012,154,150,1244,426,7,5115,156,135,634,1742,21957,315,28,10918,1039
